name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
captures/contiguous-letters,count-captures,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,61436,425,4.56s,7.06ms,35.03us,7.08ms,85.48us,6.90ms,7.92ms
captures/contiguous-letters,count-captures,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,61436,422,4.51s,7.12ms,10.91us,7.11ms,30.57us,6.93ms,7.18ms
curated/01-literal/sherlock-en,count,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,899232,121727,4.57s,24.53us,231.00ns,24.59us,760.00ns,23.38us,39.47us
curated/01-literal/sherlock-en,count,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,899232,119705,4.56s,24.92us,51.00ns,25.01us,510.00ns,24.70us,55.59us
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,899232,34447,4.56s,86.77us,140.00ns,87.03us,713.00ns,86.21us,109.04us
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,899232,33270,4.56s,90.20us,420.00ns,90.11us,1.05us,87.69us,110.93us
curated/01-literal/sherlock-ru,count,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,1570556,73619,4.56s,39.86us,490.00ns,40.69us,5.20us,37.38us,288.30us
curated/01-literal/sherlock-ru,count,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,1570556,66676,4.57s,44.73us,271.00ns,44.93us,1.24us,43.45us,73.05us
curated/01-literal/sherlock-casei-ru,count,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,1570556,15891,4.51s,188.84us,1.34us,188.74us,2.52us,185.33us,234.07us
curated/01-literal/sherlock-casei-ru,count,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,1570556,15408,4.56s,194.03us,1.20us,194.66us,2.12us,192.09us,248.95us
curated/01-literal/sherlock-zh,count,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,813478,184054,4.62s,16.21us,170.00ns,16.24us,809.00ns,15.38us,49.94us
curated/01-literal/sherlock-zh,count,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,813478,167527,4.58s,17.54us,130.00ns,17.85us,709.00ns,17.32us,31.57us
curated/02-literal-alternate/sherlock-en,count,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,899232,44742,4.56s,66.79us,220.00ns,67.00us,750.00ns,66.12us,76.13us
curated/02-literal-alternate/sherlock-en,count,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,899232,44697,4.56s,67.03us,249.00ns,67.06us,808.00ns,65.52us,87.91us
curated/02-literal-alternate/sherlock-casei-en,count,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,899232,9249,4.51s,322.85us,2.46us,324.32us,5.56us,319.47us,391.27us
curated/02-literal-alternate/sherlock-casei-en,count,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,899232,9236,4.51s,324.43us,2.55us,324.77us,9.03us,318.81us,489.74us
curated/02-literal-alternate/sherlock-ru,count,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,1570556,12279,4.51s,244.68us,1.41us,244.28us,2.66us,240.48us,279.25us
curated/02-literal-alternate/sherlock-ru,count,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,1570556,12328,4.51s,243.79us,381.00ns,243.31us,1.67us,239.24us,251.78us
curated/02-literal-alternate/sherlock-casei-ru,count,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,1570556,3035,4.51s,0.99ms,2.88us,0.99ms,5.30us,0.97ms,1.00ms
curated/02-literal-alternate/sherlock-casei-ru,count,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,1570556,3051,4.51s,0.98ms,6.32us,0.98ms,6.64us,0.97ms,1.00ms
curated/02-literal-alternate/sherlock-zh,count,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,813478,60183,4.56s,49.54us,69.00ns,49.79us,676.00ns,49.28us,59.30us
curated/02-literal-alternate/sherlock-zh,count,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,813478,59593,4.56s,50.09us,259.00ns,50.28us,733.00ns,49.59us,59.90us
curated/03-date/ascii,count-spans,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,268796,1362,4.51s,2.20ms,3.28us,2.20ms,26.95us,2.18ms,3.14ms
curated/03-date/ascii,count-spans,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,268796,1352,4.51s,2.22ms,5.65us,2.22ms,8.67us,2.20ms,2.32ms
curated/03-date/unicode,count-spans,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,268796,1344,4.56s,2.23ms,7.32us,2.23ms,9.96us,2.21ms,2.26ms
curated/03-date/unicode,count-spans,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,268796,1335,4.56s,2.24ms,4.10us,2.25ms,60.69us,2.16ms,3.75ms
curated/03-date/compile-ascii,compile,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,,957,4.51s,1.79ms,22.37us,1.79ms,25.86us,1.74ms,1.89ms
curated/03-date/compile-ascii,compile,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,,961,4.51s,1.75ms,12.86us,1.76ms,18.27us,1.72ms,1.85ms
curated/03-date/compile-unicode,compile,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,,344,4.56s,6.32ms,50.08us,6.34ms,97.41us,6.11ms,6.75ms
curated/03-date/compile-unicode,compile,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,,338,4.56s,6.41ms,19.77us,6.42ms,44.03us,6.35ms,6.77ms
curated/04-ruff-noqa/real,grep-captures,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,32514634,124,4.56s,24.37ms,24.98us,24.37ms,42.60us,24.26ms,24.52ms
curated/04-ruff-noqa/real,grep-captures,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,32514634,123,4.56s,24.52ms,25.71us,24.52ms,36.72us,24.44ms,24.62ms
curated/04-ruff-noqa/tweaked,grep-captures,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,32514634,112,4.56s,26.80ms,84.45us,26.83ms,99.94us,26.66ms,27.07ms
curated/04-ruff-noqa/tweaked,grep-captures,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,32514634,117,4.56s,25.82ms,64.60us,25.81ms,69.40us,25.69ms,25.93ms
curated/04-ruff-noqa/compile-real,compile,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,,42433,4.56s,65.22us,490.00ns,65.75us,4.09us,62.51us,151.31us
curated/04-ruff-noqa/compile-real,compile,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,,42320,4.56s,65.67us,510.00ns,65.80us,1.15us,62.85us,95.59us
